instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.2-1B-Instruct,243,55,3124344855,3321881346,197536491,655145,26687796,3163864,"[3162175, 3162192, 3162208, 3162225, 3162241, 3162258, 3162274, 3162291, 3162307, 3162324, 3162340, 3162357, 3162373, 3162390, 3162488, 3162587, 3162686, 3162785, 3162884, 3162983, 3163082, 3163181, 3163280, 3163379, 3163478, 3163577, 3163676, 3163775, 3163874, 3163973, 3164072, 3164171, 3164270, 3164369, 3164468, 3164567, 3164666, 3164765, 3164864, 3164963, 3165062, 3165161, 3165260, 3165359, 3165458, 3165557, 3165656, 3165755, 3165854, 3165953, 3166052, 3166151, 3166250, 3166349]"
1,1,meta-llama/Llama-3.2-1B-Instruct,192,95,5606032288,5930186533,324154245,849058,26880868,3162482,"[3161335, 3161351, 3161367, 3161384, 3161400, 3161417, 3161433, 3161450, 3161466, 3161483, 3161499, 3161516, 3161532, 3161549, 3161565, 3161582, 3161598, 3161615, 3161631, 3161648, 3161664, 3161681, 3161697, 3161714, 3161730, 3161747, 3161763, 3161780, 3161796, 3161813, 3161829, 3161846, 3161862, 3161878, 3161895, 3161911, 3161928, 3161944, 3161961, 3161977, 3161994, 3162010, 3162027, 3162043, 3162060, 3162076, 3162093, 3162109, 3162126, 3162142, 3162159, 3162175, 3162192, 3162208, 3162225, 3162241, 3162258, 3162274, 3162291, 3162307, 3162324, 3162340, 3162357, 3162373, 3162390, 3162488, 3162587, 3162686, 3162785, 3162884, 3162983, 3163082, 3163181, 3163280, 3163379, 3163478, 3163577, 3163676, 3163775, 3163874, 3163973, 3164072, 3164171, 3164270, 3164369, 3164468, 3164567, 3164666, 3164765, 3164864, 3164963, 3165062, 3165161, 3165260]"
1,3,meta-llama/Llama-3.2-1B-Instruct,586,46,6922611068,7116158992,193547924,2771417,45584546,3288075,"[3271600, 3272349, 3273098, 3273847, 3274596, 3275345, 3276094, 3276842, 3277591, 3278340, 3279089, 3279838, 3280587, 3281335, 3282084, 3282833, 3283582, 3284331, 3285080, 3285829, 3286577, 3287326, 3288075, 3288824, 3289573, 3290322, 3291070, 3291819, 3292568, 3293317, 3294066, 3294815, 3295564, 3296312, 3297061, 3297810, 3298559, 3299308, 3300057, 3300805, 3301554, 3302303, 3303052, 3303801, 3304550]"
1,2,meta-llama/Llama-3.2-1B-Instruct,588,168,6680396040,7273690168,593294128,790493,42402574,3298751,"[3244642, 3245391, 3246140, 3246888, 3247637, 3248386, 3249135, 3249884, 3250633, 3251382, 3252130, 3252879, 3253628, 3254377, 3255126, 3255875, 3256623, 3257372, 3258121, 3258870, 3259619, 3260368, 3261117, 3261865, 3262614, 3263363, 3264112, 3264861, 3265610, 3266359, 3267107, 3267856, 3268605, 3269354, 3270103, 3270852, 3271600, 3272349, 3273098, 3273847, 3274596, 3275345, 3276094, 3276842, 3277591, 3278340, 3279089, 3279838, 3280587, 3281335, 3282084, 3282833, 3283582, 3284331, 3285080, 3285829, 3286577, 3287326, 3288075, 3288824, 3289573, 3290322, 3291078, 3291819, 3292568, 3293317, 3294066, 3294815, 3295564, 3296312, 3297061, 3297810, 3298559, 3299308, 3270852, 3271600, 3272349, 3273098, 3273847, 3274596, 3275345, 3276094, 3276842, 3277591, 3278340, 3279089, 3279838, 3280587, 3281335, 3282084, 3282833, 3283582, 3284331, 3285080, 3285829, 3286577, 3287326, 3288075, 3288824, 3289573, 3290322, 3291070, 3291819, 3292568, 3293317, 3294066, 3294815, 3295564, 3296312, 3297061, 3297810, 3298559, 3299308, 3300057, 3300805, 3301554, 3302303, 3303052, 3303801, 3304550, 3334504, 3335252, 3336001, 3336750, 3337499, 3338248, 3338997, 3339746, 3340494, 3341243, 3341992, 3342741, 3343490, 3344239, 3344988, 3345736, 3346485, 3347234, 3347983, 3348732, 3349481, 3350229, 3350978, 3351727, 3352476, 3353225, 3353974, 3354723, 3355471, 3356220, 3356969, 3357718, 3358467, 3359216, 3359964, 3360713, 3361462, 3362211, 3362960, 3363709, 3364458, 3365206, 3365955, 3366704, 3367453, 3368202, 3368951]"
1,4,meta-llama/Llama-3.2-1B-Instruct,1225,65,9038737193,9336856852,298119659,952975,60624779,3710857,"[3691928, 3692529, 3693130, 3693731, 3694332, 3694933, 3695534, 3696135, 3696735, 3697336, 3697937, 3698538, 3699139, 3699740, 3700341, 3700942, 3701543, 3702144, 3702745, 3703346, 3703947, 3704548, 3705149, 3705750, 3706350, 3706951, 3707552, 3708153, 3708754, 3709355, 3709956, 3710557, 3711158, 3711759, 3712360, 3712961, 3713562, 3714163, 3714764, 3715365, 3715965, 3716566, 3717167, 3717768, 3718369, 3718970, 3719571, 3720172, 3720773, 3721374, 3721975, 3722576, 3723177, 3723778, 3724379, 3724980, 3725580, 3726181, 3726782, 3727383, 3727984, 3728585, 3729186, 3729787]"
1,5,meta-llama/Llama-3.2-1B-Instruct,570,123,10329232042,10771184543,441952501,624810,42223411,3276467,"[3231163, 3231912, 3232660, 3233409, 3234158, 3234907, 3235656, 3236405, 3237153, 3237902, 3238651, 3239400, 3240149, 3240898, 3241647, 3242395, 3243144, 3243893, 3244642, 3245391, 3246140, 3246888, 3247637, 3248386, 3249135, 3249884, 3250633, 3251382, 3252130, 3252879, 3253628, 3254377, 3255126, 3255875, 3256623, 3257372, 3258121, 3258870, 3259619, 3260368, 3261117, 3261865, 3262614, 3263363, 3264112, 3264861, 3265610, 3266359, 3267107, 3267856, 3268605, 3269354, 3270103, 3270852, 3271600, 3272349, 3273098, 3273847, 3274596, 3275345, 3276094, 3276842, 3277591, 3278340, 3279089, 3279838, 3280587, 3281335, 3282084, 3282833, 3283582, 3284331, 3285080, 3285829, 3286577, 3287326, 3288075, 3288824, 3289573, 3290322, 3291070, 3291819, 3292568, 3293317, 3294066, 3294815, 3295564, 3296312, 3297061, 3297810, 3298559, 3299308, 3300057, 3300805, 3301554, 3302303, 3303052, 3303801, 3304550, 3305299, 3306047, 3306796, 3307545, 3308294, 3309043, 3309792, 3310541, 3311289, 3312038, 3312787, 3313536, 3314285, 3315034, 3315782, 3316531, 3317280, 3318029, 3318778, 3319527, 3320276, 3321024, 3321773]"
1,6,meta-llama/Llama-3.2-1B-Instruct,492,81,12274496784,12557563739,283066955,687759,26743906,3204038,"[3185750, 3185849, 3185948, 3186047, 3186146, 3186245, 3186344, 3186443, 3186542, 3186641, 3186740, 3186839, 3186938, 3187037, 3187136, 3187235, 3187334, 3187433, 3187532, 3187631, 3187730, 3188478, 3189227, 3189976, 3190725, 3191474, 3192223, 3192971, 3193720, 3194469, 3195218, 3195967, 3196716, 3197465, 3198213, 3198962, 3199711, 3200460, 3201209, 3201958, 3202706, 3203455, 3204204, 3204953, 3205702, 3206451, 3207200, 3207948, 3208697, 3209446, 3210195, 3210944, 3211693, 3212441, 3213190, 3213939, 3214688, 3215437, 3216186, 3216935, 3217683, 3218432, 3219181, 3219930, 3220679, 3221428, 3222176, 3222925, 3223674, 3224423, 3225180, 3225921, 3226670, 3227418, 3228167, 3228916, 3229665, 3230414, 3231163, 3231912]"
1,7,meta-llama/Llama-3.2-1B-Instruct,1126,189,12523656665,13278351718,754695053,1621648,61233957,3688622,"[3632435, 3633036, 3633637, 3634238, 3634839, 3635440, 3636041, 3636642, 3637243, 3637844, 3638445, 3639045, 3639646, 3640247, 3640848, 3641449, 3642050, 3642651, 3643252, 3643853, 3644454, 3645055, 3645656, 3646257, 3646858, 3647459, 3648060, 3648660, 3649261, 3649862, 3650463, 3651064, 3651665, 3652266, 3652867, 3653468, 3654069, 3654670, 3655271, 3655872, 3656473, 3657074, 3657675, 3658275, 3658876, 3659477, 3660078, 3660679, 3661280, 3661881, 3662482, 3663083, 3663684, 3664285, 3664886, 3665487, 3666088, 3666689, 3667290, 3667890, 3668491, 3669092, 3669693, 3670294, 3670895, 3671496, 3672097, 3672698, 3673299, 3673900, 3674501, 3675102, 3675703, 3676304, 3676905, 3677505, 3678106, 3678707, 3679308, 3679909, 3680510, 3681111, 3681712, 3682313, 3682914, 3683515, 3684116, 3684717, 3685318, 3685919, 3686520, 3687120, 3687721, 3688322, 3688923, 3689524, 3690125, 3690726, 3691327, 3691928, 3692529, 3693130, 3693731, 3694332, 3694933, 3695534, 3696135, 3696735, 3697336, 3697937, 3698538, 3699139, 3699740, 3700341, 3700942, 3701543, 3702144, 3702745, 3703346, 3703947, 3704548, 3705149, 3705750, 3706350, 3706951, 3707552, 3708153, 3708754, 3709355, 3709956, 3710557, 3711158, 3711759, 3712360, 3712961, 3713562, 3714163, 3714764, 3715365, 3715965, 3716566, 3717167, 3717768, 3718369, 3718970, 3719571, 3720172, 3720773, 3721374, 3721975, 3722576, 3723177, 3723778, 3724379, 3724980, 3725580, 3726181, 3726782, 3727383, 3727984, 3728585, 3729186, 3729787, 3730388, 3730989, 3731590, 3732191, 3732792, 3733393, 3733994, 3734595, 3735195, 3735796, 3736397, 3736998, 3737599, 3738200, 3738801, 3739402, 3740003, 3740604, 3741205, 3741806, 3742407, 3743008, 3743615, 3744210, 3744810]"
1,8,meta-llama/Llama-3.2-1B-Instruct,396,168,13264588341,13825382532,560794191,2530742,28577385,3186926,"[3176247, 3176346, 3176445, 3176544, 3176643, 3176742, 3176841, 3176940, 3177039, 3177138, 3177237, 3177336, 3177435, 3177534, 3177633, 3177732, 3177831, 3177930, 3178029, 3178128, 3178227, 3178326, 3178425, 3178524, 3178623, 3178722, 3178821, 3178920, 3179019, 3179118, 3179217, 3179316, 3179415, 3179514, 3179613, 3179712, 3179811, 3179910, 3180009, 3180108, 3180207, 3180306, 3180405, 3180504, 3180603, 3180702, 3180801, 3180900, 3180999, 3181098, 3181197, 3181296, 3181395, 3181493, 3181592, 3181691, 3181790, 3181889, 3181988, 3182087, 3182186, 3182285, 3182384, 3182483, 3182582, 3182681, 3182780, 3182879, 3182978, 3183077, 3183176, 3183275, 3183374, 3183473, 3183572, 3183671, 3183770, 3183869, 3183968, 3184067, 3184166, 3184265, 3184364, 3184463, 3184562, 3184661, 3184760, 3184859, 3184958, 3185057, 3185156, 3185255, 3185354, 3185453, 3185552, 3185651, 3185750, 3185849, 3185948, 3186047, 3186146, 3186245, 3186344, 3186443, 3186542, 3186641, 3186740, 3186839, 3186938, 3187037, 3187136, 3187235, 3187334, 3187433, 3187532, 3187631, 3187730, 3188478, 3189227, 3189976, 3190725, 3191474, 3192223, 3192971, 3193720, 3194469, 3195218, 3195967, 3196716, 3197465, 3198213, 3198962, 3199711, 3200460, 3201209, 3201958, 3202706, 3203455, 3204204, 3204953, 3205702, 3206451, 3207200, 3207948, 3208697, 3209446, 3210195, 3210950, 3211693, 3212441, 3213190, 3213939, 3214688, 3215437, 3216186, 3185750, 3185849, 3185948, 3186047, 3186146, 3186245, 3186344, 3186443, 3186542, 3186641, 3186740, 3186839]"
1,9,meta-llama/Llama-3.2-1B-Instruct,434,111,13759699536,14141113697,381414161,1738938,30633212,3188917,"[3185849, 3185948, 3186047, 3186146, 3186245, 3186344, 3186443, 3186542, 3186641, 3186740, 3186839, 3181098, 3181197, 3181296, 3181395, 3181493, 3181592, 3181691, 3181790, 3181889, 3181988, 3182087, 3182186, 3182285, 3182384, 3182483, 3182582, 3182681, 3182780, 3182879, 3182978, 3183077, 3183176, 3183275, 3183374, 3183473, 3183572, 3183671, 3183770, 3183869, 3183968, 3184067, 3184166, 3184265, 3184364, 3184463, 3184562, 3184661, 3184760, 3184859, 3184958, 3185057, 3185156, 3185255, 3185354, 3185453, 3185552, 3185651, 3185750, 3185849, 3185948, 3186047, 3186146, 3186245, 3186344, 3186443, 3186542, 3186641, 3186740, 3186839, 3186938, 3187037, 3187136, 3187235, 3187334, 3187433, 3187532, 3187631, 3187730, 3188478, 3189227, 3189976, 3190725, 3191474, 3192223, 3192971, 3193720, 3194469, 3195218, 3195967, 3196716, 3197465, 3198213, 3198962, 3199711, 3200460, 3201209, 3201958, 3202706, 3203455, 3204204, 3204953, 3205702, 3206451, 3207200, 3207948, 3208697, 3209446, 3210195, 3210944]"
