stage,prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,0,4,16,2899.44
0,0,0,4,32,2451.55
0,0,0,4,64,2460.81
0,0,0,4,128,2460.28
0,0,0,4,256,2462.39
0,0,0,4,512,2487.73
0,0,0,4,1024,2871.14
0,0,0,4,2048,3486.5
0,512,0,0,0,7951.3
0,512,16,0,0,7414.97
0,512,32,0,0,7405.36
0,512,64,0,0,7406.1
0,512,128,0,0,7426.81
0,512,256,0,0,7500.58
0,512,512,0,0,7567.69
0,512,1024,0,0,7993.09
0,512,2048,0,0,8672.5
