instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,MiniMaxAI/MiniMax-M2.5,3616,171,9303035555,15978635851,6675600296,964445,603423057,35718689,"[31383085, 31383119, 31383152, 31383185, 31383218, 31383251, 31383284, 31383318, 31383351, 31383384, 31383417, 31383450, 31383483, 31383516, 31383550, 31383583, 31383616, 31383649, 31383682, 31383715, 31383749, 31383782, 31383815, 31383848, 31383881, 31383914, 31383947, 31383981, 31384014, 31384047, 31384080, 31384113, 31384146, 31384180, 31384213, 31384246, 31384279, 31384312, 31384345, 31384378, 31384412, 31384445, 31384478, 31384511, 31384544, 31384577, 31384611, 31384644, 31384677, 31384710, 31384743, 31384776, 31384809, 31384843, 31384876, 31384909, 31384942, 31384975, 31385008, 31385042, 178169133, 31334150, 31334183, 31334216, 31334249, 31334282, 31334315, 31334349, 31334382, 31334415, 31334448, 31334481, 31334514, 31334548, 31334581, 31334614, 31334647, 479437066, 31339023, 31339057, 31339090, 31339123, 31339156, 31339189, 31339222, 31339255, 31339289, 31339322, 31339355, 31339388, 31339421, 31339454, 31339488, 31339521, 31339554, 31339587, 31339620, 31339653, 31339686, 31339720, 31339753, 31339786, 31339819, 31339852, 31339885, 31339919, 31339952, 31339985, 31340018, 31340051, 31340084, 31340117, 31340151, 31340184, 31340217, 31340250, 31340283, 31340316, 31340350, 31340383, 31340416, 31340449, 31340482, 31340515, 31340548, 31340582, 31340615, 31340648, 31340681, 31340714, 31340747, 31340781, 31340814, 31340847, 31340880, 31340913, 31340946, 31340979, 31341013, 31341046, 31341079, 31341112, 31341145, 31341178, 31341212, 31341245, 31341278, 31341311, 31341344, 31341377, 31341410, 31341444, 31341477, 31341510, 31341543, 31341576, 31341609, 31341643, 31341676, 31341709, 31341742, 31341775, 31341808, 31341841, 31341875, 31341908, 31341941, 31341974, 31342007, 178189963]"
0,1,MiniMaxAI/MiniMax-M2.5,602,139,11778506891,17155242627,5376735736,10995531,157830547,37818153,"[31334117, 31334150, 31334183, 31334216, 31334249, 31334282, 31334315, 31334349, 31334382, 31334415, 31334448, 31334481, 31334514, 31334548, 31334581, 31334614, 31334647, 479437066, 31339023, 31339057, 31339090, 31339123, 31339156, 31339189, 31339222, 31339255, 31339289, 31339322, 31339355, 31339388, 31339421, 31339454, 31339488, 31339521, 31339554, 31339587, 31339620, 31339653, 31339686, 31339720, 31339753, 31339786, 31339819, 31339852, 31339885, 31339919, 31339952, 31339985, 31340018, 31340051, 31340084, 31340117, 31340151, 31340184, 31340217, 31340250, 31340283, 31340316, 31340350, 31340383, 31340416, 31340449, 31340482, 31340515, 31340548, 31340582, 31340615, 31340648, 31340681, 31340714, 31340747, 31340781, 31340814, 31340847, 31340880, 31340913, 31340946, 31340979, 31341013, 31341046, 31341079, 31341112, 31341145, 31341178, 31341212, 31341245, 31341278, 31341311, 31341344, 31341377, 31341410, 31341444, 31341477, 31341510, 31341543, 31341576, 31341609, 31341643, 31341676, 31341709, 31341742, 31341775, 31341808, 31341841, 31341875, 31341908, 31341941, 31341974, 31342007, 178189963, 31469747, 31469562, 31469377, 31469192, 31469008, 31468823, 31468638, 31468453, 31468268, 31468083, 31467898, 31467713, 31467529, 31467344, 31467159, 31466974, 327291485, 31439245, 31439060, 31438875, 31438690, 31438505, 31438320, 31438135, 31437950, 31437766, 31437581, 31437396]"
0,2,MiniMaxAI/MiniMax-M2.5,2548,144,12467439891,17845822153,5378382262,1582038,449680114,34466448,"[31338990, 31339023, 31339057, 31339090, 31339123, 31339156, 31339189, 31339222, 31339255, 31339289, 31339322, 31339355, 31339388, 31339421, 31339454, 31339488, 31339521, 31339554, 31339587, 31339620, 31339653, 31339686, 31339720, 31339753, 31339786, 31339819, 31339852, 31339885, 31339919, 31339952, 31339985, 31340018, 31340051, 31340084, 31340117, 31340151, 31340184, 31340217, 31340250, 31340283, 31340316, 31340350, 31340383, 31340416, 31340449, 31340482, 31340515, 31340548, 31340582, 31340615, 31340648, 31340681, 31340714, 31340747, 31340781, 31340814, 31340847, 31340880, 31340913, 31340946, 31340979, 31341013, 31341046, 31341079, 31341112, 31341145, 31341178, 31341212, 31341245, 31341278, 31341311, 31341344, 31341377, 31341410, 31341444, 31341477, 31341510, 31341543, 31341576, 31341609, 31341643, 31341676, 31341709, 31341742, 31341775, 31341808, 31341841, 31341875, 31341908, 31341941, 31341974, 31342007, 178189963, 31469747, 31469562, 31469377, 31469192, 31469008, 31468823, 31468638, 31468453, 31468268, 31468083, 31467898, 31467713, 31467529, 31467344, 31467159, 31466974, 327291485, 31439245, 31439060, 31438875, 31438690, 31438505, 31438320, 31438135, 31437950, 31437766, 31437581, 31437396, 31391920, 31391735, 31391550, 31391365, 31391180, 31390995, 31390810, 31390625, 31390441, 31390256, 31390071, 31389886, 31389701, 31389516, 31389331, 31389147, 31388962, 31388777, 31388592, 31388407, 31388222, 31388037]"
0,3,MiniMaxAI/MiniMax-M2.5,540,127,15796515182,21255679798,5459164616,3930706,150765722,42130149,"[31354947, 31469747, 31469562, 31469377, 31469192, 31469008, 31468823, 31468638, 31468453, 31468268, 31468083, 31467898, 31467713, 31467529, 31467344, 31467159, 31466974, 327291485, 31439245, 31439060, 31438875, 31438690, 31438505, 31438320, 31438135, 31437950, 31437766, 31437581, 31437396, 31391920, 31391735, 31391550, 31391365, 31391180, 31390995, 31390810, 31390625, 31390441, 31390256, 31390071, 31389886, 31389701, 31389516, 31389331, 31389147, 31388962, 31388777, 31388592, 31388407, 31388222, 31388037, 31475478, 31475293, 31475108, 31474923, 31474738, 31474553, 31474369, 31474184, 31473999, 31473814, 31473629, 31473444, 31473259, 31473075, 31472890, 31472705, 31472520, 31472335, 31472150, 31471965, 31471780, 31471596, 31471411, 31471226, 31471041, 31470856, 31470671, 31470486, 31470302, 31470117, 31469932, 31469747, 31469562, 31469377, 31469192, 31469008, 31468823, 31468638, 31468453, 31468268, 31468083, 31467898, 31467713, 31467529, 31467344, 31467159, 31466974, 31466789, 31466604, 31466419, 31466235, 31466050, 31465865, 31465680, 31465495, 31465310, 31465125, 31464941, 31464756, 31464571, 31464386, 31464201, 31464016, 31463831, 479504592, 31406339, 31406154, 31405969, 31405784, 31405599, 31405415, 31405230, 633790809, 31332024, 31331839]"
0,5,MiniMaxAI/MiniMax-M2.5,2259,74,19842580389,23199207999,3356627610,17299655,465397723,39605888,"[31406524, 31406339, 31406154, 31405969, 31405784, 31405599, 31405415, 31405230, 633790809, 31332024, 31331839, 31346218, 31346251, 31346284, 31346317, 31346350, 31346384, 31346417, 31346450, 31346483, 31346516, 31346549, 31346583, 31346616, 31346649, 31346682, 31346715, 31346748, 31346781, 31346815, 31346848, 31346881, 31346914, 31346947, 31346980, 31347014, 31347047, 31347080, 31347113, 31347146, 31347179, 31347212, 31347246, 31347279, 31347312, 31347345, 31347378, 31347411, 31347445, 31347478, 31347511, 31347544, 31347577, 31347610, 31347643, 31347677, 31347710, 31347743, 31347776, 31347809, 31347842, 31347876, 31347909, 31347942, 31347975, 31348008, 31348041, 31348075, 31348108, 31348141, 31348174, 31348207, 31348240]"
0,4,MiniMaxAI/MiniMax-M2.5,1909,213,16460345833,24484674796,8024328963,21783786,317635842,36352326,"[31439429, 31439245, 31439060, 31438875, 31438690, 31438505, 31438320, 31438135, 31437950, 31437766, 31437581, 31437396, 31391920, 31391735, 31391550, 31391365, 31391180, 31390995, 31390810, 31390625, 31390441, 31390256, 31390071, 31389886, 31389701, 31389516, 31389331, 31389147, 31388962, 31388777, 31388592, 31388407, 31388222, 31388037, 31475478, 31475293, 31475108, 31474923, 31474738, 31474553, 31474369, 31474184, 31473999, 31473814, 31473629, 31473444, 31473259, 31473075, 31472890, 31472705, 31472520, 31472335, 31472150, 31471965, 31471780, 31471596, 31471411, 31471226, 31471041, 31470856, 31470671, 31470486, 31470302, 31470117, 31469932, 31469747, 31469562, 31469377, 31469192, 31469008, 31468823, 31468638, 31468453, 31468268, 31468083, 31467898, 31467713, 31467529, 31467344, 31467159, 31466974, 31466789, 31466604, 31466419, 31466235, 31466050, 31465865, 31465680, 31465495, 31465310, 31465125, 31464941, 31464756, 31464571, 31464386, 31464201, 31464016, 31463831, 479504592, 31406339, 31406154, 31405969, 31405784, 31405599, 31405415, 31405230, 633790809, 31332024, 31331839, 31346218, 31346251, 31346284, 31346317, 31346350, 31346384, 31346417, 31346450, 31346483, 31346516, 31346549, 31346583, 31346616, 31346649, 31346682, 31346715, 31346748, 31346781, 31346815, 31346848, 31346881, 31346914, 31346947, 31346980, 31347014, 31347047, 31347080, 31347113, 31347146, 31347179, 31347212, 31347246, 31347279, 31347312, 31347345, 31347378, 31347411, 31347445, 31347478, 31347511, 31347544, 31347577, 31347610, 31347643, 31347677, 31347710, 31347743, 31347776, 31347809, 31347842, 31347876, 31347909, 31347942, 31347975, 31348008, 31348041, 31348075, 31348108, 31348141, 31348174, 31348207, 31348240, 31352186, 31352219, 31352252, 31352285, 31352318, 31352351, 31352385, 31352418, 31352451, 31352484, 31352517, 31352550, 31352583, 31352617, 31352650, 31352683, 31352716, 31352749, 31352782, 31352816, 31352849, 31352882, 31352915, 31352948, 31352981, 31353014, 31353048, 31353081, 31353114, 31353147, 31353180, 31353213, 31353247, 31353280, 31353313, 31353346, 31353379, 31353412, 31353445, 31353479, 31353512]"
0,7,MiniMaxAI/MiniMax-M2.5,2618,82,24701382271,28435684892,3734302621,2908212,451006292,40534522,"[479451149, 31353114, 31353147, 31353180, 31353213, 31353247, 31353280, 31353313, 31353346, 31353379, 31353412, 31353445, 31353479, 31353512, 31353545, 31353578, 31353611, 31353644, 31353678, 31353711, 31353744, 31353777, 31353810, 31353843, 31353877, 31353910, 31353943, 31353976, 31354009, 31354042, 31354075, 31354109, 31354142, 31354175, 31354208, 31354241, 31354274, 31354308, 31354341, 31354374, 31354407, 31354440, 327197271, 31345256, 31345290, 31345323, 31345356, 31345389, 31345422, 31345455, 31345488, 31345522, 31345555, 31345588, 31345621, 31345654, 31345687, 31345721, 31345754, 31345787, 31345820, 31345853, 31345886, 31345919, 31345953, 31345986, 31346019, 31346052, 31346085, 31346118, 31346152, 31346185, 31346218, 31346251, 31346284, 31346317, 31346350, 31346384, 31346417, 31346450, 31346483]"
0,6,MiniMaxAI/MiniMax-M2.5,3223,239,20543935698,30263142752,9719207054,15289428,617748028,38241424,"[31332209, 31332024, 31331839, 31346218, 31346251, 31346284, 31346317, 31346350, 31346384, 31346417, 31346450, 31346483, 31346516, 31346549, 31346583, 31346616, 31346649, 31346682, 31346715, 31346748, 31346781, 31346815, 31346848, 31346881, 31346914, 31346947, 31346980, 31347014, 31347047, 31347080, 31347113, 31347146, 31347179, 31347212, 31347246, 31347279, 31347312, 31347345, 31347378, 31347411, 31347445, 31347478, 31347511, 31347544, 31347577, 31347610, 31347643, 31347677, 31347710, 31347743, 31347776, 31347809, 31347842, 31347876, 31347909, 31347942, 31347975, 31348008, 31348041, 31348075, 31348108, 31348141, 31348174, 31348207, 31348240, 31352186, 31352219, 31352252, 31352285, 31352318, 31352351, 31352385, 31352418, 31352451, 31352484, 31352517, 31352550, 31352583, 31352617, 31352650, 31352683, 31352716, 31352749, 31352782, 31352816, 31352849, 31352882, 31352915, 31352948, 31352981, 31353014, 31353048, 31353081, 31353114, 31353147, 31353180, 31353213, 31353247, 31353280, 31353313, 31353346, 31353379, 31353412, 31353445, 31353479, 31353512, 31373570, 31373603, 31373636, 31373670, 31373703, 31373736, 31373769, 927549229, 31353114, 31353147, 31353180, 31353213, 31353247, 31353280, 31353313, 31353346, 31353379, 31353412, 31353445, 31353479, 31353512, 31353545, 31353578, 31353611, 31353644, 31353678, 31353711, 31353744, 31353777, 31353810, 31353843, 31353877, 31353910, 31353943, 31353976, 31354009, 31354042, 31354075, 31354109, 31354142, 31354175, 31354208, 31354241, 31354274, 31354308, 31354341, 31354374, 31354407, 31354440, 327197271, 31345256, 31345290, 31345323, 31345356, 31345389, 31345422, 31345455, 31345488, 31345522, 31345555, 31345588, 31345621, 31345654, 31345687, 31345721, 31345754, 31345787, 31345820, 31345853, 31345886, 31345919, 31345953, 31345986, 31346019, 31346052, 31346085, 31346118, 31346152, 31346185, 31346218, 31346251, 31346284, 31346317, 31346350, 31346384, 31346417, 31346450, 31346483, 479446461, 31348406, 31348439, 31348472, 31348506, 31348539, 31348572, 31348605, 31348638, 31348671, 31348704, 31348738, 31348771, 31348804, 31348837, 31348870, 31348903, 31348937, 31348970, 31349003, 31349036, 31349069, 31349102, 31349135, 31349169, 31349202, 31349235, 31349268, 31349301, 31349334, 31349368, 31349401, 31349434, 31349467, 31349500, 31349533, 31349566, 31349600, 31349633, 31349666, 31349699, 31349732, 31349765, 31349799]"
0,8,MiniMaxAI/MiniMax-M2.5,2179,153,24770517355,31109347407,6338830052,381871208,829969276,36242505,"[31353081, 31353114, 31353147, 31353180, 31353213, 31353247, 31353280, 31353313, 31353346, 31353379, 31353412, 31353445, 31353479, 31353512, 31353545, 31353578, 31353611, 31353644, 31353678, 31353711, 31353744, 31353777, 31353810, 31353843, 31353877, 31353910, 31353943, 31353976, 31354009, 31354042, 31354075, 31354109, 31354142, 31354175, 31354208, 31354241, 31354274, 31354308, 31354341, 31354374, 31354407, 31354440, 327197271, 31345256, 31345290, 31345323, 31345356, 31345389, 31345422, 31345455, 31345488, 31345522, 31345555, 31345588, 31345621, 31345654, 31345687, 31345721, 31345754, 31345787, 31345820, 31345853, 31345886, 31345919, 31345953, 31345986, 31346019, 31346052, 31346085, 31346118, 31346152, 31346185, 31346218, 31346251, 31346284, 31346317, 31346350, 31346384, 31346417, 31346450, 31346483, 479446461, 31348406, 31348439, 31348472, 31348506, 31348539, 31348572, 31348605, 31348638, 31348671, 31348704, 31348738, 31348771, 31348804, 31348837, 31348870, 31348903, 31348937, 31348970, 31349003, 31349036, 31349069, 31349102, 31349135, 31349169, 31349202, 31349235, 31349268, 31349301, 31349334, 31349368, 31349401, 31349434, 31349467, 31349500, 31349533, 31349566, 31349600, 31349633, 31349666, 31349699, 31349732, 31349765, 31349799, 31340482, 31340515, 31340548, 31340582, 31340615, 31340648, 31340681, 31340714, 31340747, 31340781, 31340814, 31340847, 31340880, 31340913, 31340946, 31340979, 31341013, 31341046, 31341079, 31341112, 31341145, 31341178, 31341212, 31341245, 31341278, 31341311, 31341344]"
0,9,MiniMaxAI/MiniMax-M2.5,1640,161,26911171373,32972033426,6060862053,6173198,302025246,35992730,"[31345223, 31345256, 31345290, 31345323, 31345356, 31345389, 31345422, 31345455, 31345488, 31345522, 31345555, 31345588, 31345621, 31345654, 31345687, 31345721, 31345754, 31345787, 31345820, 31345853, 31345886, 31345919, 31345953, 31345986, 31346019, 31346052, 31346085, 31346118, 31346152, 31346185, 31346218, 31346251, 31346284, 31346317, 31346350, 31346384, 31346417, 31346450, 31346483, 479446461, 31348406, 31348439, 31348472, 31348506, 31348539, 31348572, 31348605, 31348638, 31348671, 31348704, 31348738, 31348771, 31348804, 31348837, 31348870, 31348903, 31348937, 31348970, 31349003, 31349036, 31349069, 31349102, 31349135, 31349169, 31349202, 31349235, 31349268, 31349301, 31349334, 31349368, 31349401, 31349434, 31349467, 31349500, 31349533, 31349566, 31349600, 31349633, 31349666, 31349699, 31349732, 31349765, 31349799, 31340482, 31340515, 31340548, 31340582, 31340615, 31340648, 31340681, 31340714, 31340747, 31340781, 31340814, 31340847, 31340880, 31340913, 31340946, 31340979, 31341013, 31341046, 31341079, 31341112, 31341145, 31341178, 31341212, 31341245, 31341278, 31341311, 31341344, 31341808, 31341841, 31341875, 31341908, 31341941, 31341974, 31342007, 31342040, 31342074, 31342107, 327186765, 31334746, 31334780, 31334813, 31334846, 31334879, 31334912, 31334945, 31334979, 31335012, 31335045, 31335078, 31335111, 31335144, 31335177, 31335211, 31335244, 31335277, 31335310, 31335343, 31335376, 31335410, 31335443, 31335476, 31335509, 31335542, 31335575, 31335608, 31335642, 31335675, 31335708, 31335741, 31335774, 31335807, 31335841, 31335874, 31335907, 31335940, 31335973, 31336006]"
